GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "27000","Minnesota",4,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",728059,804597,911091,991009,1074777,1145029,1237733,1333680,1481878,1590063,1751769,1838634,1893401,1974714,2088483,2189679,2336286,2501595,2610726,2612075,2751405,3012264,3307033,3464003,3674188,3790551,3789343,3890414,4086154,4206929,4222443,4512598,4907091
 "27000","Minnesota",4,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",1199175,1280058,1420374,1506359,1636055,1755085,1922729,2100666,2329093,2541262,2788528,2922528,3006207,3155715,3347778,3511189,3612262,3894756,4032293,3759871,3857133,4154936,4234239,4353572,4594576,4814605,4986757,5226783,5405731,5701645,5733012,6215907,6740104
 "27000","Minnesota",4,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-471116,-475461,-509283,-515350,-561278,-610056,-684996,-766986,-847215,-951199,-1036759,-1083894,-1112806,-1181001,-1259295,-1321510,-1275976,-1393161,-1421567,-1147796,-1105728,-1142672,-927206,-889569,-920388,-1024054,-1197414,-1336369,-1319577,-1494716,-1510569,-1703309,-1833013
 "28000","Mississippi",5,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",1373998,1466103,1579815,1667514,1811311,1946286,2073648,2253571,2473709,2633219,2800261,2962335,3088145,3245251,3463908,3664720,3972496,4267372,4513154,4382307,4469424,4692197,4987111,5054620,5209460,5357563,5437342,5588683,5886301,6201685,6305469,6697774,7268788
 "28000","Mississippi",5,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",624987,662058,756950,828054,973793,1026241,1112088,1141554,1285995,1346693,1322444,1421644,1502725,1576254,1683893,1766910,1858379,1997205,2101967,2015005,2040162,2041174,2134622,2061979,2155367,2174831,2213325,2271608,2376670,2447977,2535236,2769185,2952103
 "28000","Mississippi",5,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",749011,804045,822865,839460,837518,920045,961560,1112017,1187714,1286526,1477817,1540691,1585420,1668997,1780015,1897810,2114117,2270167,2411187,2367302,2429262,2651023,2852489,2992641,3054093,3182732,3224017,3317075,3509631,3753708,3770233,3928589,4316685
 "29000","Missouri",4,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",2721990,2906198,3193472,3421040,3711849,3914130,4148907,4469454,4803705,5222918,5659135,5856527,5999917,6186078,6515609,6793846,7196382,7642820,7887438,7497271,7875193,8549446,8922413,9039038,9372998,9851951,9897859,10279452,10669229,11057631,11233508,12025932,12706219
 "29000","Missouri",4,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",5321972,5498070,5909291,6254874,6572004,7024286,7358535,7857706,8354415,8902892,9622901,9875964,10131956,10368753,10798047,11366601,12172241,12486052,13313935,12617330,12803608,12887674,13801956,13769089,14161653,14798727,15008907,15749006,16463732,17266550,17188529,18430622,19867250
 "29000","Missouri",4,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-2599982,-2591872,-2715819,-2833834,-2860155,-3110156,-3209628,-3388252,-3550710,-3679974,-3963766,-4019437,-4132039,-4182675,-4282438,-4572755,-4975859,-4843232,-5426497,-5120059,-4928415,-4338228,-4879543,-4730051,-4788655,-4946776,-5111048,-5469554,-5794503,-6208919,-5955021,-6404690,-7161031
 "30000","Montana",7,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",35455,37544,39877,42420,46785,50101,54507,59391,64653,69336,76160,79732,80632,82783,87719,92145,101058,111917,127702,131384,171608,286783,474248,559757,664475,544336,373067,418737,496586,530699,400795,374345,458186
 "30000","Montana",7,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",39815,48968,41916,41670,41548,41607,43100,46282,46836,48011,50168,51872,54322,58771,64353,72305,86382,94910,100448,94266,97285,107028,115871,112844,117067,116402,103776,106836,116125,115878,106529,108127,120345
