GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "48000","Texas",6,SAINC45,250,"..."," Value of inventory change: livestock ","Thousands of dollars",85060,72608,38172,242515,289945,54705,-157703,37470,-232089,-158544,-264687,191709,-12890,406764,-226976,-97631,-170439,-49225,87136,-216993,-159697,58403,250729,422383,416565,166999,-53993,-399481,216574,-213405,-104402,-115241,-62227,237531,-59120,-149703,322793,-85892,-321932,-10048,-265954,-82487,-1225162,-301563,-562401,832178,159434,611934,241409,525613,-99811,195020,-440674,-228815
 "48000","Texas",6,SAINC45,260,"..."," Value of inventory change: crops ","Thousands of dollars",-80674,-30988,51746,54979,-1887,-194633,26077,111536,692802,-136330,18920,-832801,1079731,421614,-364517,74348,695272,-506336,16522,239686,-1059888,12535,-273598,92047,-277018,-39282,242988,82715,566646,-455190,344555,-218582,176786,177500,-46996,648575,-17318,-663540,1166756,-1885454,-1081309,87776,-1737366,-1815940,361589,-445505,-570515,-714059,-1039678,-1673479,-1132827,-1541481,-87585,-2576463
 "48000","Texas",6,SAINC45,265,"..."," Value of inventory change: materials and supplies ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-20601,57630,-27743,42562,-78944,31486,15530,16672,-41629,22471,-20856,44776,476582,-130939,-184907,22715,48015,-228144,-906,-3938,-29448,88028,-20796,122862,276230,19179,5982,15201,-20525,53413,36343,56848
 "48000","Texas",6,SAINC45,270,"...","Cash receipts and other income ","Thousands of dollars",4193899,4516578,4685238,5543903,8155335,6704997,6996114,7404735,7340757,9305559,12030976,10576973,10791458,10509838,11821878,12289811,11268393,11723141,13102433,13634870,14916757,15552805,15667804,15288884,17002069,16214127,16379015,15715679,16294024,16908110,18295549,18674353,19703639,17912144,22900881,23989750,24119692,23383129,25853472,26429479,23734654,25877461,31577696,31011356,32046560,33194288,28941981,24648706,27713468,27977637,28201590,29537064,33063226,40349143
 "48000","Texas",6,SAINC45,280,"..."," Less: Production expenses ","Thousands of dollars",3484605,3590479,3952074,4731248,6153233,5615844,5683375,6476585,6785717,8344160,10275437,9841969,10111278,10467235,10173514,11007344,10670307,10298680,11408676,11713329,11733146,12772577,13179488,12472187,13235623,12786453,14120762,13200575,14098008,13671066,14463092,15236252,15910299,14120857,17415150,18333827,19327961,19822435,23793657,24596455,23119194,23378763,26943354,27697581,27981530,30398645,24131932,23565278,24990197,25690691,25142243,25380205,28187781,34870256
 "48000","Texas",6,SAINC45,290,"...","Equals: Realized net income ","Thousands of dollars",709294,926099,733164,812655,2002102,1089153,1312739,928150,555040,961399,1755539,735004,680180,42603,1648364,1282467,598086,1424461,1693757,1921541,3183611,2780228,2488316,2816697,3766446,3427674,2258253,2515104,2196016,3237044,3832457,3438101,3793340,3791287,5485731,5655923,4791731,3560694,2059815,1833024,615460,2498698,4634342,3313775,4065030,2795643,4810049,1083428,2723271,2286946,3059347,4156859,4875445,5478887
 "48000","Texas",6,SAINC45,300,"..."," Plus: Value of inventory change ","Thousands of dollars",4386,41620,89918,297494,288058,-139928,-131626,149006,460713,-294874,-245767,-641092,1066841,828378,-591493,-23283,524833,-555561,103658,22693,-1219585,70938,-43470,572060,111804,170279,110051,-285280,798750,-651923,198524,-311352,93703,459807,370466,367933,120568,-726717,892839,-2123646,-1348169,1351,-2991976,-2029475,-221608,509535,-134851,-82946,-792287,-1132665,-1253163,-1293048,-491916,-2748430
 "48000","Texas",6,SAINC45,310,"...","Equals: Net income including corporate farms ","Thousands of dollars",713680,967719,823082,1110149,2290160,949225,1181113,1077156,1015753,666525,1509772,93912,1747021,870981,1056871,1259184,1122919,868900,1797415,1944234,1964026,2851166,2444846,3388757,3878250,3597953,2368304,2229824,2994766,2585121,4030981,3126749,3887043,4251094,5856197,6023856,4912299,2833977,2952654,-290622,-732709,2500049,1642366,1284300,3843422,3305178,4675198,1000482,1930984,1154281,1806184,2863811,4383529,2730457
 "48000","Texas",6,SAINC45,320,"..."," Less: Net income of corporate farms ","Thousands of dollars",62068,77752,78015,139397,450882,113224,191883,139041,152684,129632,294377,4826,291096,74573,-142365,182296,188786,128495,266108,244679,378517,563680,411008,697153,627849,837943,372179,587434,736085,535807,637942,631874,856684,967366,1465912,1679532,1095009,559214,659332,-105378,-299365,507453,374511,257790,548254,405986,222185,89444,178493,250489,276011,500523,926734,627761
 "48000","Texas",6,SAINC45,330,"..."," Plus: Statistical adjustment ","Thousands of dollars",30,25,24,31,40,13,-2,-19,-9,16,17,-8,31,-31,9,23,19,28,8,11,-34,5,24,32,22,-24,-36,15,27,-15,17,-34,-36,16,-16,-33,-35,3,-12,-10,-32,31,-27,16,-5,18,1,-14,-10,-19,22,27,-8,-24
 "48000","Texas",6,SAINC45,340,"...","Equals: Farm proprietors' income ","Thousands of dollars",651642,889992,745091,970783,1839318,836014,989228,938096,863060,536909,1215412,89078,1455956,796377,1199245,1076911,934152,740433,1531315,1699566,1585475,2287491,2033862,2691636,3250423,2759986,1996089,1642405,2258708,2049299,3393056,2494841,3030323,3283744,4390269,4344291,3817255,2274766,2293310,-185254,-433376,1992627,1267828,1026526,3295163,2899210,4453014,911024,1752481,903773,1530195,2363315,3456787,2102672
 "48000","Texas",6,SAINC45,350,"..."," Plus: Farm wages and salaries ","Thousands of dollars",258718,261050,251903,266416,278984,289664,290232,311214,369126,442444,472572,479575,456137,517581,503799,507498,519521,489508,496558,557458,586499,677310,654413,599066,650350,598861,694162,683657,714956,708893,803661,767044,856330,600039,782600,866180,1029308,868881,1118826,1211385,1143724,1114615,1325368,1375059,1218625,1458488,1620567,1378971,1391799,1566771,1149789,998410,1354824,984793
 "48000","Texas",6,SAINC45,360,"..."," Plus: Farm supplements to wages and salaries ","Thousands of dollars",16146,16592,18297,20105,26468,31054,34360,42802,47527,50427,53284,51176,51394,39760,37713,43307,45945,44966,53342,55449,69849,81787,81959,79260,92447,85050,87472,81535,81578,76575,80551,84841,100391,86599,98815,110974,124685,102786,189176,202776,211387,162960,171054,216263,225083,244785,236437,209147,257470,260138,213774,191806,227729,234237
 "48000","Texas",6,SAINC45,370,"...","Equals: Farm earnings ","Thousands of dollars",926506,1167634,1015291,1257304,2144770,1156732,1313820,1292112,1279713,1029780,1741268,619829,1963487,1353718,1740757,1627716,1499618,1274907,2081215,2312473,2241823,3046588,2770234,3369962,3993220,3443897,2777723,2407597,3055242,2834767,4277268,3346726,3987044,3970382,5271684,5321445,4971248,3246433,3601312,1228907,921735,3270202,2764250,2617848,4738871,4602483,6310018,2499142,3401750,2730682,2893758,3553531,5039340,3321702
"Note: See the included footnote file."
"SAINC45: Farm income and expenses "
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 2002-2021."
"U.S. Bureau of Economic Analysis"
