state,year,less_9th_grade,9_12th_grade,high_school,some_college_no_degree,associate,bachelor,graduate
Georgia,2018,324756,579158,1890132,1394241,518144,1282947,797169
Georgia,2019,318461,567037,1909067,1397954,538144,1324801,832815
Georgia,2020,311893,536760,1925374,1410017,559719,1377311,875351
Georgia,2021,309555,522434,1925348,1406605,576689,1426415,908810
Hawaii,2012,42511,47905,263569,208480,90876,181666,93125
Hawaii,2013,41500,48495,263664,209554,92512,186379,96113
Hawaii,2014,41153,47068,267413,211193,94296,191712,98028
Hawaii,2015,39520,46787,268336,211813,98882,196010,100704
Hawaii,2016,38415,46528,270583,211228,100990,201712,103489
Hawaii,2017,37347,45113,273162,210452,102896,209097,106253
Hawaii,2018,37398,43298,273633,207856,105186,212053,108943
Hawaii,2019,36701,43020,271648,207661,106509,215777,111689
Hawaii,2020,34509,40366,272031,206808,108220,218679,115810
Hawaii,2021,34792,39676,273929,209523,112084,226399,124019
Idaho,2012,44324,68026,275678,269072,85361,167268,76443
Idaho,2013,43822,68249,278646,271575,87761,172377,78516
Idaho,2014,42939,67315,281600,274568,90951,176651,81463
Idaho,2015,42174,66332,283236,277700,94717,182235,84354
Idaho,2016,39750,65420,289085,280534,97833,187399,87585
Idaho,2017,39116,64779,292202,282995,101080,194303,90838
Idaho,2018,38173,64518,301860,287113,104333,198648,94621
Idaho,2019,37255,65674,305181,290307,109602,207179,100358
Idaho,2020,35736,64453,305717,298415,112676,221092,107255
Idaho,2021,37930,66753,314521,303274,117437,231259,114023
Illinois,2012,486652,615797,2301245,1804949,621960,1632885,996459
Illinois,2013,478869,603512,2308986,1810007,632569,1657947,1017849
Illinois,2014,471888,590256,2312018,1813377,643082,1688420,1041514
Illinois,2015,468183,570134,2308309,1816777,658904,1711787,1066084
Illinois,2016,454757,553851,2287126,1815860,671821,1744260,1090609
Illinois,2017,446625,544799,2281524,1812247,682300,1776326,1122258
Illinois,2018,432496,532091,2267535,1799808,692622,1801833,1155958
Illinois,2019,419259,517783,2254524,1784175,700533,1831438,1178587
Illinois,2020,401341,496997,2220409,1775548,707131,1875011,1210263
Illinois,2021,398851,486470,2226182,1761534,722272,1910757,1258812
Indiana,2012,177873,372057,1498095,883070,326036,623200,348807
Indiana,2013,178422,365926,1500702,891274,334834,632094,355626
Indiana,2014,174370,356781,1498978,899154,345740,647692,365104
Indiana,2015,172868,351986,1494302,901226,355635,664747,375509
Indiana,2016,169321,348137,1486051,903839,364277,681986,386076
Indiana,2017,167020,343773,1474872,904964,372514,704841,401467
Indiana,2018,164640,337984,1475931,898842,382510,727108,412800
Indiana,2019,163176,332214,1480084,894953,387910,749078,423078
Indiana,2020,159253,317172,1482396,898491,396074,770901,441893
Indiana,2021,159466,301014,1485995,897667,403773,797977,455322
Iowa,2012,74662,112971,666739,441428,207885,353091,156853
Iowa,2013,72508,110553,666371,440519,215049,359520,162199
Iowa,2014,71083,106989,662847,439849,220869,366812,170493
Iowa,2015,68606,105938,660248,440810,227328,372434,173980
Iowa,2016,65821,104145,656680,441134,231629,379649,179782
Iowa,2017,66190,102455,651750,440583,234511,386963,185462
Iowa,2018,65482,101227,648137,441087,238423,395820,191197
Iowa,2019,63936,101578,648398,438917,242125,403801,194030
Iowa,2020,61329,97072,647371,433481,248496,415048,202067
Iowa,2021,59533,92847,648873,435426,253485,423852,205868
Kansas,2012,75185,113674,511212,448445,138189,359569,191805
Kansas,2013,75823,112449,508652,452591,140680,363386,196429
Kansas,2014,75119,111989,505960,451696,145245,370031,201854
Kansas,2015,72669,110237,505583,452272,148723,374220,205994
Kansas,2016,71161,110888,499895,449787,152963,380391,213410
Kansas,2017,69770,109443,494849,445804,156529,389007,221339
Kansas,2018,69212,106507,492819,442045,161016,394462,228614
Kansas,2019,68104,104022,492807,437157,165119,400938,234132
Kansas,2020,66244,99129,494226,435361,168417,410344,238269
Kansas,2021,66387,94906,493339,435601,170483,415201,246034
Kentucky,2012,218429,291767,988008,595225,199940,361888,247039
Kentucky,2013,211256,285453,989067,599340,206790,372738,255935
Kentucky,2014,205866,280324,991520,607604,214363,377949,262083
Kentucky,2015,197123,270587,993853,613300,221409,386554,272390
Kentucky,2016,190711,265469,990322,618001,231405,397154,277011
Kentucky,2017,181262,260397,988521,625391,238060,406916,285652
Kentucky,2018,174998,254575,991791,628235,244802,415937,293666
Kentucky,2019,166412,248372,993098,628993,251136,428846,302236
Kentucky,2020,151985,237657,990196,635328,259993,447884,311448
Kentucky,2021,145630,231333,1000507,627713,263311,461841,323229
Louisiana,2012,188722,335236,1008396,629013,149016,420395,209520
Louisiana,2013,184704,334851,1014569,639343,154171,433526,216649
Louisiana,2014,183171,333310,1022166,645544,160591,441765,224281
Louisiana,2015,176693,328239,1031156,650181,168460,451042,234270
Louisiana,2016,171179,325031,1038591,653009,174294,461804,242071
Louisiana,2017,166320,319765,1046025,657791,178716,473914,249538
Louisiana,2018,158218,313742,1055768,656172,186448,483170,254423
Louisiana,2019,152013,309693,1061388,654347,194127,490514,263071
Louisiana,2020,147491,296685,1044356,665481,204960,499998,280549
Louisiana,2021,144130,287465,1036204,656412,209561,511447,288636
Maine,2012,32822,55454,321100,188547,84236,164915,91550
Maine,2013,31220,53077,319732,189295,86337,169061,94559
Maine,2014,30319,52066,318017,190372,88305,173294,95586
Maine,2015,29080,50525,316556,189860,90595,178375,97786
Maine,2016,27537,49768,317373,188695,93123,180436,100134
Maine,2017,26575,49053,310724,187812,95895,185832,105195
Maine,2018,26431,47995,308013,189609,96570,190172,109107
Maine,2019,24984,47001,306589,187750,97905,194761,115127
Maine,2020,22218,44307,307457,188826,100402,199746,119429
