,Geography,Geographic Area Name,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),18 years and over,21 years and over,65 years and over,One race,Two or more races,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Hispanic or Latino (of any race),Not Hispanic or Latino,Total housing units_x,YEAR,Total households,Households with one or more people under 18 years,Households with one or more people 65 years and over,Average household size,Males 15 years and over,"Never married, Males 15 years and over","Now married, except separated, Males 15 years and over","Separated, Males 15 years and over","Widowed, Males 15 years and over","Divorced, Males 15 years and over",Females 15 years and over,"Never married, Females 15 years and over","Now married, except separated, Females 15 years and over","Separated, Females 15 years and over","Widowed, Females 15 years and over","Divorced, Females 15 years and over",Population 3 years and over enrolled in school,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Native,Foreign born,Language other than English,Population 16 years and over,In labor force,Civilian labor force,Employed,Unemployed,Armed Forces,Not in labor force,Civilian employed population 16 years and over,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations",Median family income (dollars),Mean family income (dollars),Per capita income (dollars),Civilian noninstitutionalized population,With health insurance coverage,With private health insurance,With public coverage,No health insurance coverage,Total housing units_y,Occupied housing units,Vacant housing units,Homeowner vacancy rate,Rental vacancy rate,Median rooms,"Median (dollars), Value",Owner-occupied units,Housing units with a mortgage,Housing units without a mortgage,"Median (dollars), Rent",No rent paid
292,0400000US33,New Hampshire,1319171,651106,668065,68116,76514,82466,93758,85126,147022,172458,222200,99383,85046,104075,57982,25025,41.5,1038311,978020,187082,1297342,21829,1260829,23209,10573,36166,1040,10787,38817,1280354,615204,2014,519580,155725,135327,2.46,538166,170652,291484,5620,12930,57480,560000,145689,286176,8000,46843,73292,323195,919033,24121,49369,267359,173926,88466,197937,117855,1247657,73412,99237,1080795,742731,741358,693329,48029,1373,338064,693329,274354,109426,169716,63186,76647,80812,98683,33821,1306315,1172061,994734,336734,134254,617286,519580,97706,1.4,4.9,5.5,237400,369160,253557,115603,1001,6359
293,0400000US33,New Hampshire,1327503,656507,670996,64676,74086,77373,90122,88902,154495,159325,210225,106669,91245,123021,60143,27221,42.4,1060524,1002365,210385,1302597,24906,1266943,25705,10890,39774,1167,9756,43500,1284003,620729,2015,520251,152983,139809,2.47,541608,174192,291074,5264,13034,58044,562700,147316,285783,8094,47204,74303,321106,925145,22996,48063,266443,176216,88681,202048,120698,1248454,75747,99030,1087512,742874,741543,698810,42733,1331,344638,698810,278333,110105,169158,63134,78080,81726,100306,34362,1309057,1187005,998717,352442,122052,618950,520251,98699,1.4,4.6,5.6,237300,369175,251384,117791,1000,6329
294,0400000US33,New Hampshire,1324201,653484,670717,65592,74255,80046,91704,87459,151429,163074,214652,103708,90318,116302,59435,26227,42.2,1052521,992948,201964,1299855,24346,1264353,25267,10823,38955,1152,9771,42141,1282060,618950,2016,521373,150857,145426,2.47,546455,177948,290478,5393,13652,58984,564913,149311,286087,7944,47434,74137,316403,932344,22057,47217,264372,176695,91327,206061,124615,1250440,77063,99416,1094783,746203,744528,706801,37727,1675,348580,706801,281559,113321,170402,62613,78906,83709,103069,35264,1310949,1200297,1002056,367674,110652,620729,521373,99356,1.4,4.5,5.6,239700,368553,248447,120106,1021,6460
295,0400000US33,New Hampshire,1343622,664983,678639,64079,72003,76609,88652,90164,161541,155671,200920,110487,95512,135715,62907,29362,42.7,1081059,1023461,227984,1315732,27890,1276008,29687,11004,45550,1412,9532,48356,1295266,630955,2017,526710,150964,151471,2.45,550259,176867,295350,5693,13747,58602,567788,148690,289955,7404,47541,74198,312824,939471,21106,46172,262891,176656,94088,209224,129334,1252979,78869,99496,1102267,748779,746990,713424,33566,1789,353488,713424,287692,113867,169930,62323,79612,86949,107500,36914,1314875,1216855,1010341,382041,98020,627619,526710,100909,1.3,4.3,5.6,244900,372304,249098,123206,1052,6087
296,0400000US33,New Hampshire,1331848,659131,672717,64233,72965,76603,88725,89851,156374,156530,205335,108660,93279,129717,61133,28443,42.7,1067991,1011048,219293,1305658,26190,1268673,27295,10966,41738,1284,9697,45266,1286582,627619,2018,528078,147661,157093,2.46,556592,181987,294963,5499,14365,59778,574339,151853,291783,7310,48468,74925,310284,952115,21176,46431,263005,177691,96387,213277,134148,1262335,81287,100557,1114817,756239,754409,724017,30392,1830,358578,724017,294175,116752,163856,61592,87642,91245,112822,38548,1326243,1239969,1019536,399632,86274,630955,528078,102877,1.3,4.2,5.6,252800,374758,248258,126500,1077,5825
297,0400000US33,New Hampshire,1348124,667689,680435,63843,70144,76783,87162,89855,165193,154702,195642,111262,97743,141456,65119,29220,42.9,1088160,1031323,235795,1319843,28281,1278650,30753,11005,46317,1507,9816,50493,1297631,634726,2019,532037,146514,162675,2.46,560016,183821,295709,6349,14572,59565,577338,152627,293518,7105,48430,75658,306551,960337,20410,45796,263321,177410,97663,218013,137724,1265430,82694,103247,1121659,759081,757131,729701,27430,1950,362578,729701,301013,117307,159145,62109,90127,95244,117422,40003,1331286,1252217,1020752,415056,79069,634726,532037,102689,1.2,3.9,5.6,261700,378178,248689,129489,1111,5954
298,0400000US33,New Hampshire,1355244,671802,683442,63677,69106,76652,85727,88920,169167,155505,189808,111648,99892,147593,67637,29912,43.0,1097513,1041132,245142,1315392,39852,1284067,32277,10734,47713,1579,20643,52792,1302452,638611,2020,539116,147279,170116,2.44,564580,186079,297364,5966,14812,60359,581229,152602,295594,7007,48725,77301,301741,971162,21380,44075,264953,174701,101368,223814,140871,1272622,82622,104288,1130008,761007,758702,730223,28479,2305,369001,730223,306308,116785,155896,63592,87642,97001,120331,41234,1338372,1258301,1025907,421762,80071,638611,539116,99495,0.9,4.0,5.6,272300,383839,249600,134239,1145,6075
299,0400000US33,New Hampshire,1372175,683846,688329,63509,68766,78993,88329,86472,171559,160635,187228,112805,103743,154122,67763,28251,43.0,1111560,1054041,250136,1321285,50890,1297158,34370,11567,48622,1707,32333,55915,1316260,636480,2021,540498,146414,172977,2.46,575597,191923,300135,6266,14901,62372,585310,157410,295020,7221,47799,77860,302247,986106,20896,41913,269342,175537,101383,230314,146721,1289280,82895,105108,1144768,769793,767453,738506,28947,2340,374975,738506,314716,114676,154949,65204,88961,104193,128164,43877,1356149,1276144,1038561,429162,80005,636480,540498,95982,0.7,3.9,5.6,288700,387149,249294,137855,1212,5949
300,0400000US34,New Jersey,8793888,4283189,4510699,537989,563537,585035,597051,540760,1114252,1240986,1368440,566815,482933,620899,397292,177899,38.9,6738236,6392492,1196090,8585668,208220,6285496,1288514,63167,796206,9381,573354,1557680,7236208,3555864,2012,3186878,1112661,851269,2.70,3421155,1245995,1797472,54960,90482,232246,3686172,1113571,1756235,84630,368977,362759,2292669,5969516,326107,396922,1741272,1023647,369470,1314380,797718,6960812,1833076,2444767,6985329,4672338,4663005,4219677,443328,9333,2312991,4219677,1692449,690708,1084164,314882,437474,87389,112730,35928,8682727,7589263,6321224,2193794,1093464,3555864,3186878,368986,1.8,6.9,5.7,337900,2108166,1492392,615774,1154,35518
301,0400000US34,New Jersey,8874374,4326518,4547856,535871,556159,582386,588535,558802,1132991,1200296,1363844,600378,505848,669942,390293,189029,39.3,6838290,6495456,1249264,8653931,220443,6265502,1307420,61570,848644,11589,617340,1649784,7224590,3572138,2013,3186418,1104442,867372,2.71,3445085,1266451,1794009,56001,91467,237157,3704910,1132047,1750711,85063,368309,368780,2288598,6007746,327689,385198,1743628,1024284,375299,1336219,815429,6963594,1868812,2489641,7028795,4677666,4669577,4197483,472094,8089,2351129,4197483,1693245,699730,1065523,305937,433048,87347,113394,36027,8723211,7603415,6255232,2264163,1119796,3563130,3186418,376712,1.8,6.7,5.7,327100,2091065,1470762,620303,1172,36262
