GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "21000","Kentucky",5,SARPP,2,"..."," RPPs: Goods ","Index",96.413,93.568,96.600,95.426,93.955,95.053,95.131,94.156,95.346,94.742,93.236,94.824,94.410,94.185
 "22000","Louisiana",5,SARPP,2,"..."," RPPs: Goods ","Index",96.527,94.121,96.773,96.224,95.604,96.234,96.468,95.497,96.156,96.002,93.731,95.357,94.808,95.407
 "23000","Maine",1,SARPP,2,"..."," RPPs: Goods ","Index",100.299,100.755,98.269,98.434,99.115,98.502,98.308,99.439,99.119,100.390,100.985,99.255,99.478,98.910
 "24000","Maryland",2,SARPP,2,"..."," RPPs: Goods ","Index",104.854,107.901,104.183,104.946,103.749,104.768,102.832,102.060,102.609,102.266,102.595,101.441,102.471,103.695
 "25000","Massachusetts",1,SARPP,2,"..."," RPPs: Goods ","Index",98.562,97.889,99.852,101.558,101.359,100.972,104.182,102.302,103.824,104.065,102.847,103.935,105.283,105.264
 "26000","Michigan",3,SARPP,2,"..."," RPPs: Goods ","Index",95.407,97.832,98.327,98.623,98.289,98.440,98.651,97.880,97.899,97.361,98.458,96.161,96.288,94.803
 "27000","Minnesota",4,SARPP,2,"..."," RPPs: Goods ","Index",96.256,99.810,98.274,99.322,99.665,98.653,101.236,100.333,98.563,100.189,101.379,100.781,99.140,100.496
 "28000","Mississippi",5,SARPP,2,"..."," RPPs: Goods ","Index",96.105,93.040,96.564,95.387,93.404,94.684,94.168,93.476,94.400,93.918,92.906,94.863,94.757,94.453
 "29000","Missouri",4,SARPP,2,"..."," RPPs: Goods ","Index",87.462,91.622,96.585,95.410,95.922,96.920,97.820,97.507,96.467,96.361,96.176,98.318,99.101,98.447
 "30000","Montana",7,SARPP,2,"..."," RPPs: Goods ","Index",99.855,99.778,99.403,99.803,97.798,95.907,97.258,101.568,101.905,101.906,96.074,98.869,95.449,96.764
 "31000","Nebraska",4,SARPP,2,"..."," RPPs: Goods ","Index",89.580,92.494,95.631,95.684,96.582,96.018,97.162,97.351,96.420,95.397,94.775,97.311,95.697,94.334
