state,year,total_housing,total_hh,avg_hh_size,occ_housing,vacant_housing,ho_vac_rate,ren_vac_rate,median_rooms,median_value,ho_housing,housing_mort,housing_wo_mort,meidan_rent
Kansas,2019,1273297,1129227,2.51,1129227,144070,1.8,7.8,5.9,151900,748123,444331,303792,850
Kansas,2020,1280376,1141985,2.48,1141985,138391,1.6,7.6,6,157600,756309,443530,312779,863
Kansas,2021,1272290,1139738,2.51,1139738,132552,1.4,7.2,6,164800,759042,443123,315919,912
Kentucky,2012,1927916,1691716,2.49,1691716,236200,2.3,7.5,5.5,120000,1162207,718096,444111,638
Kentucky,2013,1938836,1694996,2.5,1694996,235162,2.2,7.3,5.5,120400,1159188,708072,451116,655
Kentucky,2014,1930158,1702235,2.5,1702235,236601,2.2,6.6,5.5,121600,1152012,695997,456015,667
Kentucky,2015,1951090,1708499,2.5,1708499,235996,2,6.3,5.5,123200,1148752,684364,464388,675
Kentucky,2016,1944495,1718217,2.49,1718217,232873,1.9,6,5.5,126100,1147903,679545,468358,690
Kentucky,2017,1974406,1724514,2.49,1724514,240688,1.8,6.1,5.5,130000,1155576,677882,477694,713
Kentucky,2018,1965202,1728681,2.49,1728681,245725,1.6,5.9,5.6,135300,1157631,673651,483980,741
Kentucky,2019,1983949,1734618,2.49,1734618,249331,1.6,5.9,5.6,141000,1166031,673379,492652,763
Kentucky,2020,1994554,1748053,2.48,1748053,246501,1.4,5.6,5.6,147100,1181021,675577,505444,783
Kentucky,2021,1988420,1748475,2.5,1748475,239945,1.3,5.5,5.7,155100,1185302,679202,506100,826
Louisiana,2012,1964329,1696499,2.59,1696499,267830,2,8.4,5.4,137700,1142965,641781,501184,762
Louisiana,2013,1988460,1707852,2.6,1707852,266461,1.9,8.2,5.4,138900,1143500,633741,509759,773
Louisiana,2014,1974313,1718876,2.6,1718876,269584,1.9,8.1,5.4,140400,1139756,624109,515647,786
Louisiana,2015,2011700,1727919,2.6,1727919,271936,1.8,8.1,5.4,144100,1136709,615051,521658,788
Louisiana,2016,1999855,1731398,2.61,1731398,280302,1.8,8.2,5.4,148300,1132785,608680,524105,800
Louisiana,2017,2045554,1737645,2.61,1737645,293419,1.7,8.3,5.4,152900,1137462,603674,533788,825
Louisiana,2018,2031064,1736021,2.61,1736021,309533,1.8,8.6,5.4,157800,1133084,597222,535862,850
Louisiana,2019,2059918,1739497,2.61,1739497,320421,1.8,8.6,5.4,163100,1141205,597122,544083,866
Louisiana,2020,2074664,1751956,2.59,1751956,322708,1.7,8.6,5.4,168100,1167628,606824,560804,876
Louisiana,2021,2066323,1748688,2.59,1748688,317635,1.6,8.1,5.4,174000,1165858,612388,553470,923
Maine,2012,721171,553208,2.34,553208,167963,2.3,7.2,5.3,175600,398593,259630,138963,750
Maine,2013,724685,553823,2.33,553823,168148,2.3,7.2,5.3,174500,397512,256505,141007,764
Maine,2014,721971,553086,2.34,553086,171599,2.2,7.2,5.3,173600,395074,251757,143317,772
Maine,2015,727127,553284,2.34,553284,172943,2,6.6,5.3,173800,393995,249231,144764,777
Maine,2016,726227,551109,2.35,551109,176018,2,6.4,5.3,176000,393966,247365,146601,790
Maine,2017,739077,554061,2.34,554061,181650,1.9,6.8,5.3,179900,399142,248675,150467,808
Maine,2018,735711,556955,2.33,556955,182122,1.8,6.5,5.3,184500,402119,249814,152305,831
Maine,2019,742788,559921,2.32,559921,182867,1.8,6,5.4,190400,404759,249872,154887,853
Maine,2020,746793,569551,2.29,569551,177242,1.5,5.9,5.4,198000,414939,251919,163020,873
Maine,2021,737782,571064,2.31,571064,166718,1.2,5.3,5.4,212100,419024,253596,165428,927
Maryland,2012,2378932,2138806,2.64,2138806,240126,2,7.6,6.2,304900,1456472,1113410,343062,1172
Maryland,2013,2399375,2146240,2.65,2146240,241045,1.9,7.4,6.2,292700,1450893,1100412,350481,1196
Maryland,2014,2387285,2155983,2.67,2155983,243392,1.8,7,6.2,287500,1445880,1086931,358949,1218
Maryland,2015,2421909,2166389,2.67,2166389,243867,1.7,6.6,6.2,286900,1447662,1081480,366182,1230
Maryland,2016,2410256,2177492,2.67,2177492,244417,1.7,6.3,6.2,290400,1447783,1073797,373986,1264
Maryland,2017,2437740,2181093,2.68,2181093,245921,1.7,6.3,6.2,296500,1456758,1072653,384105,1311
Maryland,2018,2427014,2192518,2.67,2192518,245222,1.7,6.2,6.2,305500,1463941,1072008,391933,1357
Maryland,2019,2448422,2205204,2.67,2205204,243218,1.7,6,6.2,314800,1475149,1075641,399508,1392
Maryland,2020,2459650,2230527,2.64,2230527,229123,1.4,5.7,6.2,325400,1495828,1084283,411545,1415
Maryland,2021,2516341,2294270,2.62,2294270,222071,1.3,5.4,6.2,338500,1543719,1115878,427841,1485
Massachusetts,2012,2804206,2525694,2.5,2525694,278512,1.4,5.1,5.6,335500,1595959,1150701,445258,1056
Massachusetts,2013,2816875,2530147,2.51,2530147,278402,1.3,5,5.5,330100,1585259,1136718,448541,1069
Massachusetts,2014,2808549,2538485,2.53,2538485,278390,1.3,4.6,5.5,329900,1580938,1125262,455676,1088
Massachusetts,2015,2836658,2549721,2.53,2549721,278099,1.2,4.2,5.5,333100,1583667,1120163,463504,1102
Massachusetts,2016,2827820,2558889,2.54,2558889,277769,1.1,4.1,5.5,341000,1588743,1115649,473094,1129
Massachusetts,2017,2882739,2585715,2.53,2585715,279274,1.1,4,5.5,352600,1612329,1126695,485634,1173
Massachusetts,2018,2864989,2601914,2.53,2601914,280825,1,3.8,5.5,366800,1621053,1126604,494449,1225
Massachusetts,2019,2897259,2617497,2.52,2617497,279762,1,3.6,5.5,381600,1632765,1129945,502820,1282
Massachusetts,2020,2913009,2646980,2.5,2646980,266029,0.9,3.3,5.5,398800,1654892,1132948,521944,1336
Massachusetts,2021,2979634,2714448,2.48,2714448,265186,0.8,3.3,5.5,424700,1694407,1159423,534984,1429
Michigan,2012,4531958,3818931,2.53,3818931,713027,2.8,8.5,5.7,128600,2780213,1837373,942840,755
