state,year,in_lf,employed,unemployed,not_in_lf,Man_bus_sci_arts,service,sales_office,construction,prod_tran_mov,median_f_income,mean_f_income,per_cp_income,pop_hea_ins,pop_hea_ins_pri,pop_hea_ins_pub,pop_no_hea_ins
Texas,2016,13312277,12371392,848131,7286946,4382313,2185662,2988311,1342559,1472547,64585,88231,27828,21364057,16019590,7560008,5114811
Texas,2017,13565038,12689069,784888,7432970,4551929,2221181,3038408,1370630,1506921,67344,91977,28985,22026776,16587602,7710086,4916911
Texas,2018,13818331,12985624,743006,7575789,4705124,2262117,2925929,1407656,1684798,70423,96001,30143,22652748,17101346,7873672,4764897
Texas,2019,14055852,13253631,708827,7680386,4867492,2288826,2937388,1433389,1726536,73349,99605,31277,23001793,17397969,7966660,4791164
Texas,2020,14309066,13461358,752884,7769024,5084326,2280631,2954834,1419995,1721572,76073,102456,32177,23292892,17679410,8045715,4877069
Texas,2021,14492816,13618630,771586,7768365,5245369,2262556,2927917,1429514,1753274,80498,107893,34255,23415482,17765148,8109464,4995381
Utah,2012,1368252,1265221,96504,616310,453972,197241,340288,121042,152678,66014,81435,23794,2332706,2032708,540010,404921
Utah,2013,1382365,1275709,101449,638774,463266,200229,339710,118446,154058,66646,82055,23873,2379723,2053424,568512,406420
Utah,2014,1399952,1299818,95738,657639,475857,202605,342697,118303,160356,67612,83673,24312,2427769,2087380,586314,403554
Utah,2015,1423700,1337646,81870,673216,492839,209077,349898,118516,167316,68817,85159,24686,2496443,2147556,601091,380390
Utah,2016,1451339,1374146,73114,685591,511481,212446,360103,120542,169574,71058,88127,25600,2572238,2213554,616414,350300
Utah,2017,1480657,1412214,64314,698431,532350,217383,363406,123757,175318,74287,92425,26907,2646042,2281858,626752,321826
Utah,2018,1514938,1452040,58958,709315,553507,221902,354315,127485,194831,77732,96935,28239,2717818,2349674,638355,301761
Utah,2019,1557215,1497354,55539,715859,583047,228073,356348,132442,197444,81525,101666,29775,2781865,2409755,648505,289012
Utah,2020,1600462,1537623,57829,724707,610399,229595,364464,135295,197870,84590,105348,30986,2844130,2464525,664208,280433
Utah,2021,1653818,1590143,58170,737909,642509,233263,366163,141730,206478,90665,113800,33378,2917062,2526451,677907,288116
Vermont,2012,350996,327499,22911,162972,130363,56372,72676,34177,33911,67274,82508,28846,572476,430680,226688,46863
Vermont,2013,348495,324350,23546,166989,129476,56970,71214,33078,33612,68111,83752,29167,574185,424451,234325,45547
Vermont,2014,347486,325336,21643,169925,129846,56975,70848,33400,34267,68787,85013,29535,579005,422852,242075,41274
Vermont,2015,346162,326732,18957,172977,132097,56783,69830,33072,34950,70027,86245,29894,584299,424576,246854,36158
Vermont,2016,344730,327237,17087,175467,131979,56784,70598,32565,35311,71465,88340,30663,587407,423267,251397,32809
Vermont,2017,342645,327264,14969,177386,133214,56862,69563,32723,34902,74068,91891,31917,589214,421770,256523,29489
Vermont,2018,343168,328742,13878,178555,137010,56285,65406,32386,37655,77193,95100,33238,593534,425733,258210,25362
Vermont,2019,341932,329028,12323,180274,138247,56970,64964,32033,36814,80998,99437,34577,593622,425129,259580,24644
Vermont,2020,342240,328642,12845,180825,141692,54986,63172,33068,35724,83023,102413,35854,593153,427581,258167,25031
Vermont,2021,349819,335239,13668,187656,147819,54254,62697,33978,36491,88607,109701,37903,609808,438929,265481,25775
Virginia,2012,4276515,3867416,286994,2101267,1619962,627480,901163,344553,374258,76566,99955,33326,6833297,5883412,1833006,955207
Virginia,2013,4303611,3885351,303129,2150005,1642012,645769,894954,335730,366886,76754,100723,33493,6908253,5900956,1904926,973047
Virginia,2014,4338606,3936638,293310,2192818,1672048,661350,897345,334282,371613,77939,102254,33958,7004481,5944729,1971727,968444
Virginia,2015,4376786,3990770,276030,2222170,1703602,674982,899214,334723,378249,78390,102966,34152,7126973,6020331,2044627,916040
Virginia,2016,4403124,4036456,255340,2249987,1731299,677558,902731,339501,385367,80068,105488,34967,7232481,6092515,2114498,864477
Virginia,2017,4431500,4084035,236648,2276891,1768096,686502,900969,340840,387628,83164,109435,36268,7342809,6171364,2176566,810412
Virginia,2018,4450906,4118723,217670,2305313,1804637,684289,847431,344374,437992,86628,114218,37763,7441903,6231792,2237141,755739
Virginia,2019,4477253,4156018,200850,2321807,1843627,691644,837476,341846,441425,90141,118940,39278,7526363,6260278,2321833,707960
Virginia,2020,4508686,4179739,202745,2340768,1893390,686373,825943,335145,438888,93284,123883,41255,7601635,6279818,2409942,681362
Virginia,2021,4552635,4219781,202807,2350972,1954214,682362,807573,330671,444961,98771,130284,43267,7699252,6284551,2507191,658732
Washington,2012,3511749,3150493,309049,1834226,1208502,544911,739033,308590,349457,71939,90148,30661,5733240,4678149,1842059,895281
Washington,2013,3526776,3149730,327155,1889360,1215919,550824,730797,300472,351718,72168,90849,30742,5787347,4671048,1909768,924141
Washington,2014,3551870,3194382,308955,1936168,1237816,563773,729350,305953,357490,73039,92527,31233,5914385,4716007,2006408,878242
Washington,2015,3586261,3259877,277806,1982379,1270584,571600,735995,313191,368507,74025,94338,31762,6091385,4799143,2128454,787469
Washington,2016,3623304,3331321,244692,2024393,1316143,577191,739275,320415,378297,76507,98185,32999,6282974,4898583,2252254,684794
Washington,2017,3685819,3418123,218821,2049033,1378065,580047,745911,328677,385423,80233,103318,34869,6478362,5001870,2367987,584670
Washington,2018,3761036,3513856,198330,2082119,1441782,592947,714608,337733,426786,84182,109100,36888,6699539,5117530,2500984,487856
Washington,2019,3834480,3594279,187330,2106801,1501200,603812,710533,345835,432899,88660,114940,38915,6835242,5206153,2572354,457854
Washington,2020,3904996,3660034,188562,2133816,1563629,603317,712427,344746,435915,92422,120270,40837,6939704,5301825,2603375,458228
Washington,2021,3958572,3701656,198259,2162343,1610719,595569,705511,346531,443326,98691,129229,43817,7025766,5341437,2652220,477069
West Virginia,2012,827489,760812,65115,681060,235752,142562,186951,96075,99472,51770,64914,22482,1559156,1169534,662915,261642
West Virginia,2013,826225,755632,69351,686163,236302,141086,186140,93322,98782,52165,66206,22966,1562500,1158428,674664,261520
West Virginia,2014,821389,753227,67035,692360,236908,142729,183378,91768,98444,52875,67024,23237,1583928,1154301,701672,240355
West Virginia,2015,815405,751252,63341,696778,241587,141436,181570,89595,97064,52866,67421,23450,1613621,1154719,734101,208779
West Virginia,2016,812480,750412,61215,696732,242501,144963,179113,87111,96724,54409,68895,24002,1642376,1152027,770494,174780
West Virginia,2017,805727,746958,57659,697324,245012,144455,176576,84561,96354,55949,70948,24774,1664214,1146360,802584,143769
West Virginia,2018,797423,742615,53750,701821,248704,144274,164768,81401,103468,57598,73168,25479,1683444,1139051,831095,116826
West Virginia,2019,794126,740910,51910,697190,250294,143836,162163,81544,103073,59607,75996,26480,1680456,1128973,839518,108019
West Virginia,2020,798208,744272,52031,687124,254218,141268,161304,80928,106554,61707,78106,27346,1668236,1129070,836913,109844
West Virginia,2021,788433,736088,50277,690281,254206,138512,156026,79540,107804,65845,83583,28761,1659719,1119401,837770,113840
Wisconsin,2012,3090671,2856318,230456,1421854,961679,475342,683794,251171,484332,66415,80551,27426,5105682,4149375,1671994,503740
Wisconsin,2013,3082381,2839636,239464,1455496,963978,482179,676268,242773,474438,66534,81039,27523,5118222,4098830,1734310,512357
Wisconsin,2014,3076311,2852018,221662,1484933,977404,486405,668084,241351,478774,67232,82125,27907,5159942,4101922,1773424,489761
Wisconsin,2015,3079657,2883390,193763,1504274,996016,490498,665207,245698,485971,68064,83469,28340,5219979,4141640,1798676,448384
Wisconsin,2016,3082186,2910339,169426,1521539,1019630,493769,664898,245727,486315,69925,85975,29253,5273102,4188832,1820884,408789
Wisconsin,2017,3087719,2939880,145271,1530555,1043515,495207,662890,249436,488832,72542,89382,30557,5321616,4230492,1835316,369522
Wisconsin,2018,3092330,2964540,124792,1547117,1068930,494858,622193,253223,525336,75313,93565,32018,5376782,4272859,1855766,329424
Wisconsin,2019,3097113,2982359,111564,1562469,1090763,491842,617112,255493,527149,78679,97431,33375,5408692,4297070,1871595,310259
Wisconsin,2020,3096518,2983277,109854,1586015,1110652,482609,604533,254428,531055,80844,100128,34450,5422999,4307171,1891059,312704
Wisconsin,2021,3127362,3014612,109017,1604474,1145124,479062,596737,258724,534965,85623,106121,36754,5484621,4341242,1925268,318308
Wyoming,2012,307324,288847,15537,134858,91226,49301,63976,47196,37148,70013,83409,28858,470598,396117,141018,82570
Wyoming,2013,309519,289823,16760,138776,93917,50982,62776,45956,36192,70868,83142,28902,476786,398865,144313,83611
Wyoming,2014,310018,291552,15950,143078,95499,52045,62127,45943,35938,72086,84442,29381,485268,404571,146942,80469
Wyoming,2015,311371,293949,15002,145269,95680,52163,62560,47142,36404,73194,85229,29803,493896,412501,148956,76302
Wyoming,2016,311104,293598,15118,148094,96127,53321,61420,46426,36304,73654,86557,30139,500207,417131,152893,73331
Wyoming,2017,310748,293633,14459,149034,98557,52320,60898,45272,36586,75602,89174,31214,505488,424573,152795,67982
Wyoming,2018,307485,290963,13685,151494,97929,50927,57764,45071,39272,77480,92743,32295,507036,423627,154715,64887
Wyoming,2019,305004,288503,13544,154278,99031,50628,56250,44840,37754,79782,95869,33366,505667,420361,157974,65354
Wyoming,2020,303956,287375,13222,157461,103264,49896,54480,43296,36439,81290,98307,34415,505708,419750,159124,65297
Wyoming,2021,300833,284934,12464,156295,104764,48986,53261,41814,36109,85901,104683,36288,500832,412083,161535,66211
