state,year,in_lf,employed,unemployed,not_in_lf,Man_bus_sci_arts,service,sales_office,construction,prod_tran_mov,median_f_income,mean_f_income,per_cp_income,pop_hea_ins,pop_hea_ins_pri,pop_hea_ins_pub,pop_no_hea_ins
Maryland,2016,3249911,3005753,216086,1514990,1350227,515463,668392,233407,238264,92049,116461,37756,5389007,4346409,1749054,475885
Maryland,2017,3267069,3040792,198375,1533782,1376291,521617,664131,236706,242047,95597,120839,39070,5467934,4381721,1812880,433369
Maryland,2018,3261655,3051333,181089,1547555,1392767,523719,623723,236722,274402,99403,125351,40517,5525043,4394643,1874088,382130
Maryland,2019,3269234,3073886,164396,1557970,1422652,526719,611281,237276,275958,103108,130482,42122,5561644,4410864,1910211,359135
Maryland,2020,3275954,3076280,167571,1570122,1452698,509548,600435,238846,274753,105790,133817,43352,5586014,4421288,1942647,352186
Maryland,2021,3330279,3120977,175507,1601286,1502928,500430,594176,243359,280084,111378,141430,45915,5689577,4487921,2006961,360098
Massachusetts,2012,3614094,3302990,305515,1706329,1427312,562727,785567,234051,293333,84380,108062,35485,6219325,4990869,2033795,259871
Massachusetts,2013,3636347,3308547,322730,1734905,1441891,573375,771376,228865,293040,84900,109134,35763,6261992,4946974,2115842,262859
Massachusetts,2014,3667612,3354036,309050,1759795,1472402,588268,767221,232134,294011,86132,111411,36441,6325711,4935536,2190607,252920
Massachusetts,2015,3700701,3415975,280164,1778801,1510715,602742,767408,235906,299204,87085,112945,36895,6391805,4937598,2268955,235963
Massachusetts,2016,3725838,3468864,252347,1796397,1549117,612815,768471,237241,301220,90180,116766,38069,6451367,4953499,2331261,214158
Massachusetts,2017,3755481,3525672,224856,1820695,1597150,623336,761992,238363,304831,94110,121984,39913,6513408,4982962,2386623,200294
Massachusetts,2018,3778642,3570257,203464,1841349,1643529,624434,726280,241808,334206,98625,128072,41794,6566545,5001165,2441507,189470
Massachusetts,2019,3800931,3612375,183355,1847174,1690459,625045,717181,242426,337264,103126,133746,43761,6593146,5029053,2456992,184322
Massachusetts,2020,3815083,3615725,193769,1862942,1736511,606043,699855,240326,332990,106526,139154,45555,6614995,5068095,2457888,185687
Massachusetts,2021,3882484,3667019,209959,1891422,1796224,597671,688208,245868,339048,112543,148067,48617,6729979,5145833,2508398,192326
Michigan,2012,4889594,4269865,614849,2959964,1459146,792133,1056849,336308,625429,60749,76708,25547,8653751,6859512,3169919,1128261
